"V1" "V2" "V3"
"1" 1631.41921669018 1965.68570375644 2766.50567141901
"2" 1538.93169873271 1908.56273693021 2737.08972942225
"3" 1427.46237696287 1848.22928232312 2707.48412859661
"4" 1272.01276124392 1783.95804406493 2677.68013321053
"5" 3.88411140910632 1714.7099307221 2647.6684048788
"6" 3.88411140910632 1638.90945091066 2617.43894585981
"7" 3.88411140910632 1553.95763235032 2586.98103552716
"8" 3.88411140910632 1454.97114000985 2556.28315901085
"9" 3.88411140910632 1330.35963358342 2525.33292682855
"10" 3.88411140910632 1127.86592518933 2494.11698411783
"11" 3.88411140910632 591.888332392099 2462.62090782739
"12" 3.88411140910632 565.367497329971 2430.82908992069
"13" 3.88411140910632 551.697663906739 2398.72460427558
"14" 3.88411140910632 543.034762581298 2366.28905451429
"15" 3.88411140910632 536.968842932672 2333.50239945044
