"sp.con..2.." "sp.nocon..2.."
"1" 0.000257498220574644 6.06451469033086e-05
"2" 0.00025800657371183 6.07843079877612e-05
"3" 0.00025925911997453 6.10220326066989e-05
"4" 0.000257325719436061 6.06260620439234e-05
"5" 0.000258791604983312 6.09225612562069e-05
"6" 0.000260548582327609 6.13936916645771e-05
"7" 0.00025235204554792 5.94992177704542e-05
"8" 0.000243076336707589 5.73885810983726e-05
"9" 0.000245163549044253 5.77471744574948e-05
"10" 0.000247985812306763 5.86101119555737e-05
"11" 0.000236918229573852 5.59200569615063e-05
"12" 0.000256087556425681 6.06289612162687e-05
"13" 0.000261658651432538 6.1786412076125e-05
"14" 0.000261520614340101 6.16567357475183e-05
"15" 0.000243392502008684 5.74066447816671e-05
"16" 0.000247411422977797 5.84497748928948e-05
"17" 0.00025217923589387 5.94355367308109e-05
"18" 0.000248945608850698 5.88308275131451e-05
"19" 0.00024997592070516 5.90697752591337e-05
"20" 0.000254873131627817 6.01993901946204e-05
"21" 0.000243291149399221 5.73822643625519e-05
"22" 0.000235713351734478 5.57231135102163e-05
"23" 0.000238505599807838 5.63211306345602e-05
"24" 0.000236791393194783 5.60083971134154e-05
"25" 0.000242898820675134 5.72180950243574e-05
"26" 0.000229000716185646 5.42706240249984e-05
"27" 0.000232474152220806 5.50273229499835e-05
"28" 0.000231357961571988 5.47796594283249e-05
"29" 0.000233923583762317 5.53429794761986e-05
"30" 0.000209372479299169 4.95991700563449e-05
"31" 0.000214821830102359 5.07797775490915e-05
"32" 0.000220297846257813 5.20963171181877e-05
"33" 0.000221122257500854 5.23038879668558e-05
"34" 0.000220621837032789 5.21924091778998e-05
"35" 0.000219972564131406 5.20219382032777e-05
"36" 0.00021721078312588 5.13058457697277e-05
"37" 0.000212140841069726 5.0147121725027e-05
"38" 0.000210012220581257 4.9673992776435e-05
"39" 0.000206479888416515 4.88286952935417e-05
"40" 0.000204272671467552 4.84324046321532e-05
"41" 0.000214973155507249 5.09886215274581e-05
"42" 0.000213450698658768 5.06030443759674e-05
"43" 0.000210130904680271 4.98355547907804e-05
"44" 0.000209636387392578 4.97605665330688e-05
"45" 0.000212318246701747 5.03644332073364e-05
"46" 0.000204952353365354 4.87010933009186e-05
"47" 0.000207363511501962 4.91677741282344e-05
"48" 0.000208228238057971 4.93964944516144e-05
"49" 0.000228609410832728 5.43968940138424e-05
"50" 0.000228984295757887 5.45153810478125e-05
"51" 0.000233067968314075 5.54948414859819e-05
"52" 0.000229111187616261 5.4536811258325e-05
"53" 0.000209829399038467 4.99215767262248e-05
"54" 0.0002135208877102 5.09357591893239e-05
"55" 0.000222792206375643 5.30653174256106e-05
"56" 0.000217824516139087 5.19054195902495e-05
"57" 0.000210037640618612 5.01709285768233e-05
