"V1" "V2" "V3"
"1" 1492.22252531074 1878.07994440459 2722.56391527377
"2" 1497.44579237139 1884.12083198468 2728.27140852483
"3" 1496.6784456164 1883.44672962958 2726.48354174613
"4" 1493.25612314201 1880.42864388077 2723.45063070343
"5" 1491.84345087156 1879.80439787256 2723.2017355548
"6" 1493.14194379216 1881.78007840979 2724.95440820739
"7" 1498.49525836083 1887.42722865053 2729.98730730769
"8" 1499.30326442254 1887.79671738823 2728.97334411207
"9" 1496.13314549129 1884.36143318163 2724.99159053931
"10" 1497.29779835885 1885.79895950713 2726.85527863889
"11" 1498.711535518 1887.14779000321 2727.60469554236
"12" 1494.10561857068 1882.30515431868 2722.08975827133
"13" 1494.40080533646 1883.09644541135 2724.14421928428
"14" 1488.65684001702 1877.56482513887 2719.01303188946
"15" 1499.47395094907 1889.29835791209 2732.25646624291
"16" 1501.33617695964 1890.26902722222 2730.91686730428
"17" 1499.44971995356 1887.73888007934 2727.28846009123
"18" 1496.58356924485 1884.77779874171 2724.64522720824
"19" 1502.57678973008 1890.98296190407 2731.2611112583
"20" 1505.2394751704 1892.88477815977 2731.3850286207
"21" 1504.42305807895 1891.28251550691 2728.74733617682
"22" 1503.83078891226 1890.3136410915 2728.05233114703
"23" 1508.02982942188 1894.25565149154 2732.0990035653
"24" 1512.8764540699 1898.29394764334 2734.82246670706
"25" 1512.72105928559 1896.98037940344 2731.95749081086
"26" 1513.40066564361 1896.94373764323 2731.77253932774
"27" 1517.88891220471 1900.77823074973 2735.37780110238
"28" 1517.15377387286 1898.92257362972 2732.09815960712
"29" 1519.94820357032 1901.0620887904 2734.09665921651
"30" 1518.80482937645 1899.03161298998 2731.55937856273
"31" 1521.22326976077 1900.95276240076 2733.6755444773
"32" 1522.46061186243 1901.45969795562 2733.7153958977
"33" 1525.27614777645 1903.58600200523 2735.47730114356
"34" 1518.26802391141 1895.72192236252 2726.97349881779
"35" 1509.92145489328 1887.68786015949 2720.66319682482
"36" 1507.08737386852 1885.9808012339 2721.69655519881
"37" 1511.53576352839 1891.37428926866 2728.67847823021
