"V1" "V2" "V3"
"1" 2499.1458008121 2132.50447980149 1083.5694393648
"2" 2541.2661999514 2154.66747964713 1087.73682912473
"3" 2592.75441756284 2178.58708182092 1092.00567677721
"4" 2664.97378720763 2204.62881899315 1096.38042275714
"5" 2483.88477786645 2233.3072738663 1100.86580601693
"6" 2483.88477786645 2265.38993818599 1105.46689180873
"7" 2483.88477786645 2302.1195136447 1110.18910280405
"8" 2483.88477786645 2345.78088894297 1115.03825404404
"9" 2483.88477786645 2401.65467708988 1120.02059230017
"10" 2483.88477786645 2492.61550147941 1125.14284052947
"11" 2483.88477786645 2684.75967789694 1130.4122482342
"12" 2483.88477786645 2689.38927470394 1135.83664868832
"13" 2483.88477786645 2691.43746290587 1141.4245241788
"14" 2483.88477786645 2692.60997424051 1147.18508063613
"15" 2483.88477786645 2693.37106955909 1153.12833330625
