"T2crash.con" "T2crash.nocon" "T2crash.white"
"1" 10000 10000 10000
"2" 10000 10000 10000
"3" 10000 10000 10000
"4" 10000 10000 10000
"5" 2000 10000 10000
"6" 1250 10000 10000
"7" 344.827586206897 10000 10000
"8" 185.185185185185 5000 10000
"9" 116.279069767442 357.142857142857 3333.33333333333
"10" 90.0900900900901 192.307692307692 1250
